Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR22311018_1_paired	SRR22311018_1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	31521664.0	4.1 Gbp	0.0	36-135	44.0	5.144216419300409	131.6940577756301	134	pass	pass		pass	fail	warn	pass	warn	fail	warn	pass
SRR22311018_2	SRR22311018_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	32455512.0	4.7 Gbp	0.0	35-150	46.0	5.372267815127573	146.8167110720669	150	pass	pass		pass	fail	warn	pass	warn	fail	warn	pass
SRR22311018_2_paired	SRR22311018_2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	31521664.0	4.1 Gbp	0.0	36-135	45.0	5.361826385242688	131.66453344595007	134	pass	pass		pass	warn	warn	pass	warn	fail	warn	pass
SRR22311020_1	SRR22311020_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	60086616.0	8.5 Gbp	0.0	35-150	46.0	8.702298696168501	142.04696832985235	150	pass	pass		pass	fail	warn	pass	warn	fail	fail	pass
SRR22311020_1_paired	SRR22311020_1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	58604928.0	7.5 Gbp	0.0	36-135	46.0	8.643915515693132	128.47760980100514	134	pass	pass		pass	fail	warn	pass	warn	fail	pass	pass
SRR22311020_2	SRR22311020_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	60086616.0	8.6 Gbp	0.0	35-150	48.0	8.589930201837646	143.47997577363984	150	pass	pass		pass	fail	warn	pass	warn	fail	warn	pass
SRR22311020_2_paired	SRR22311020_2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	58604928.0	7.5 Gbp	0.0	36-135	47.0	8.66247776853309	128.41938616493138	134	pass	pass		pass	warn	warn	pass	warn	fail	pass	pass
SRR26583189_1	SRR26583189_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	212980520.0	21.5 Gbp	0.0	101.0	46.0	7.935341921824459	101.0	101	pass	pass	pass	pass	fail	warn	pass	pass	fail	pass	pass
SRR26583189_2	SRR26583189_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	212980520.0	21.5 Gbp	0.0	101.0	47.0	8.926694545904873	101.0	101	pass	pass	pass	pass	warn	warn	pass	pass	fail	pass	pass
SRR26583191_1	SRR26583191_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	218052720.0	22 Gbp	0.0	101.0	46.0	5.716996628971014	101.0	101	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	pass
SRR26583191_2	SRR26583191_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	218052720.0	22 Gbp	0.0	101.0	47.0	6.217250961632967	101.0	101	pass	pass	pass	pass	warn	pass	pass	pass	fail	pass	pass
SRR27194003_1	SRR27194003_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	11836800.0	1.1 Gbp	0.0	101.0	45.0	7.446668495578209	101.0	101	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	warn
SRR27194003_2	SRR27194003_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	11836800.0	1.1 Gbp	0.0	101.0	45.0	7.84516523890215	101.0	101	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	warn
SRR27194004_1	SRR27194004_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	11445560.0	1.1 Gbp	0.0	101.0	46.0	7.090828861107836	101.0	101	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	warn
SRR27194004_2	SRR27194004_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	11445560.0	1.1 Gbp	0.0	101.0	46.0	7.419673586154783	101.0	101	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	warn
SRR29317039_1	SRR29317039_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	22884632.0	3.4 Gbp	0.0	150.0	45.0	7.915787333698759	150.0	150	pass	pass	pass	pass	fail	warn	pass	pass	fail	pass	fail
SRR29317039_2	SRR29317039_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	22884632.0	3.4 Gbp	0.0	150.0	45.0	7.338247524400653	150.0	150	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	fail
SRR29317041_1	SRR29317041_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	25093968.0	3.7 Gbp	0.0	150.0	45.0	5.8630009893623	150.0	150	pass	pass	pass	pass	fail	warn	pass	pass	fail	pass	warn
SRR29317041_2	SRR29317041_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	25093968.0	3.7 Gbp	0.0	150.0	45.0	5.3828323882126154	150.0	150	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	warn
SRR30844226_1	SRR30844226_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	151497680.0	15.3 Gbp	0.0	101.0	46.0	4.049915922961189	101.0	101	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass
SRR30844226_2	SRR30844226_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	151497680.0	15.3 Gbp	0.0	101.0	47.0	5.495006660747771	101.0	101	pass	pass	pass	pass	fail	fail	pass	pass	fail	pass	pass
SRR30844227_1	SRR30844227_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	110776496.0	11.1 Gbp	0.0	101.0	45.0	7.667594047872218	101.0	101	pass	pass	pass	pass	fail	warn	pass	pass	fail	pass	pass
SRR30844227_2	SRR30844227_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	110776496.0	11.1 Gbp	0.0	101.0	46.0	9.915252421231067	101.0	101	pass	pass	pass	pass	fail	warn	pass	pass	fail	pass	pass
SRR33450572_1	SRR33450572_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	48724512.0	7.3 Gbp	0.0	150.0	47.0	4.498740027858288	150.0	150	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	fail
SRR33450572_2	SRR33450572_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	48724512.0	7.3 Gbp	0.0	150.0	47.0	4.38961114277945	150.0	150	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	fail
SRR6662598_1	SRR6662598_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26788528.0	3.3 Gbp	0.0	126.0	46.0	6.01323201670825	126.0	126	pass	pass		pass	fail	warn	pass	pass	fail	warn	warn
SRR6662598_2	SRR6662598_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26788528.0	3.3 Gbp	0.0	126.0	46.0	6.8413814432188245	126.0	126	pass	pass		pass	fail	warn	pass	pass	fail	warn	warn
SRR6662600_1	SRR6662600_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	16863856.0	2.1 Gbp	0.0	126.0	44.0	7.513905131588146	126.0	126	pass	pass		pass	fail	warn	pass	pass	fail	pass	fail
SRR6662600_2	SRR6662600_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	16863856.0	2.1 Gbp	0.0	126.0	45.0	8.573977692050788	126.0	126	pass	pass		pass	warn	pass	pass	pass	fail	pass	fail
SRR8468522_1	SRR8468522_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	65467432.0	7.5 Gbp	0.0	29-119	48.0	9.892413565553678	114.06190950028405	118	pass	pass		pass	warn	pass	pass	warn	fail	pass	pass
SRR8468522_2	SRR8468522_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	65467432.0	7.5 Gbp	0.0	29-119	48.0	9.905668106628166	114.5939979438937	118	pass	pass		pass	warn	warn	pass	warn	fail	pass	pass
SRR869504_1	SRR869504_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	28206932.0	2.8 Gbp	0.0	100.0	42.0	54.85870332435302	100.0	100	pass	pass	pass	pass	pass	pass	pass	pass	warn	warn	pass
SRR869504_2	SRR869504_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	28206932.0	2.8 Gbp	0.0	100.0	42.0	56.78161071301231	100.0	100	pass	pass	pass	pass	pass	pass	pass	pass	warn	warn	pass
SRR9596698	SRR9596698.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	31748504.0	3.2 Gbp	0.0	101.0	43.0	9.118530245099658	101.0	101	pass	pass		pass	fail	pass	pass	pass	fail	pass	pass
SRR9596699	SRR9596699.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	28045264.0	2.8 Gbp	0.0	101.0	43.0	9.779831287002807	101.0	101	pass	pass		pass	fail	warn	pass	pass	fail	warn	pass
SRR9596707	SRR9596707.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	25407736.0	2.5 Gbp	0.0	101.0	43.0	5.857905511382284	101.0	101	pass	pass		pass	fail	warn	pass	pass	fail	warn	pass
SRR9596713	SRR9596713.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	31078848.0	3.1 Gbp	0.0	101.0	44.0	9.738514215750088	101.0	101	pass	pass		pass	fail	pass	pass	pass	fail	fail	pass
SRR9596714	SRR9596714.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	28480448.0	2.8 Gbp	0.0	101.0	45.0	9.391161793195337	101.0	101	pass	pass		pass	fail	pass	pass	pass	fail	warn	pass
SRR9596715	SRR9596715.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	51573536.0	5.2 Gbp	0.0	101.0	44.0	5.274113863938449	101.0	101	pass	pass		pass	fail	pass	pass	pass	fail	fail	warn
